patient004\patient004_frame01.nii,patient004\patient004_frame01_gt.nii
patient037\patient037_frame12.nii,patient037\patient037_frame12_gt.nii
patient058\patient058_frame01.nii,patient058\patient058_frame01_gt.nii
patient058\patient058_frame14.nii,patient058\patient058_frame14_gt.nii
patient076\patient076_frame01.nii,patient076\patient076_frame01_gt.nii
patient076\patient076_frame12.nii,patient076\patient076_frame12_gt.nii
patient072\patient072_frame01.nii,patient072\patient072_frame01_gt.nii
patient072\patient072_frame11.nii,patient072\patient072_frame11_gt.nii
patient021\patient021_frame01.nii,patient021\patient021_frame01_gt.nii
patient021\patient021_frame13.nii,patient021\patient021_frame13_gt.nii
patient013\patient013_frame01.nii,patient013\patient013_frame01_gt.nii
patient013\patient013_frame14.nii,patient013\patient013_frame14_gt.nii
patient051\patient051_frame01.nii,patient051\patient051_frame01_gt.nii
patient051\patient051_frame11.nii,patient051\patient051_frame11_gt.nii
patient023\patient023_frame01.nii,patient023\patient023_frame01_gt.nii
patient023\patient023_frame09.nii,patient023\patient023_frame09_gt.nii
patient022\patient022_frame01.nii,patient022\patient022_frame01_gt.nii
patient022\patient022_frame11.nii,patient022\patient022_frame11_gt.nii
patient025\patient025_frame01.nii,patient025\patient025_frame01_gt.nii
patient025\patient025_frame09.nii,patient025\patient025_frame09_gt.nii
patient042\patient042_frame01.nii,patient042\patient042_frame01_gt.nii
patient042\patient042_frame16.nii,patient042\patient042_frame16_gt.nii
patient018\patient018_frame01.nii,patient018\patient018_frame01_gt.nii
patient018\patient018_frame10.nii,patient018\patient018_frame10_gt.nii
patient016\patient016_frame01.nii,patient016\patient016_frame01_gt.nii
patient016\patient016_frame12.nii,patient016\patient016_frame12_gt.nii
patient097\patient097_frame01.nii,patient097\patient097_frame01_gt.nii
patient097\patient097_frame11.nii,patient097\patient097_frame11_gt.nii
patient085\patient085_frame01.nii,patient085\patient085_frame01_gt.nii
patient085\patient085_frame09.nii,patient085\patient085_frame09_gt.nii
patient045\patient045_frame01.nii,patient045\patient045_frame01_gt.nii
patient045\patient045_frame13.nii,patient045\patient045_frame13_gt.nii
patient008\patient008_frame01.nii,patient008\patient008_frame01_gt.nii
patient008\patient008_frame13.nii,patient008\patient008_frame13_gt.nii
